text,labels
"Canon  6D Mark II comes with a  35.9 x 24 mm CMOS sensor, which has a diagonal of  43.18 mm 1.7"" and a surface area of 861.60 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel SL2 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX730 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T7i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  77D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M6 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G9 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M5 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  5D Mark IV comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX620 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  1300D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G7 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX720 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  80D comes with a  22.5 x 15 mm CMOS sensor, which has a diagonal of  27.04 mm 1.06"" and a surface area of 337.50 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon -1D X Mark II comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 360 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 190 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 180 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX540 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX420 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G5 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G9 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G3 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M3 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T6s comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T6i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  5DS R comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  5DS comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 350 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX410 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX710 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX610 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX530 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 170 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 160 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon IXUS 165 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br B-mo I-mo O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  7D Mark II comes with a  22.4 x 15 mm CMOS sensor, which has a diagonal of  26.96 mm 1.06"" and a surface area of 336.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G7 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm 0.62"" and a surface area of 116.16 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX60 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  N2 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX520 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX400 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  S200 comes with a  1/1.7"" ~ 7.53 x 5.64 mm CMOS sensor, which has a diagonal of  9.41 mm 0.37"" and a surface area of 42.47 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 150 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 140 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 135 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G1 X Mark II comes with a  1.5"" ~ 18.7 x 14 mm CMOS sensor, which has a diagonal of  23.36 mm 0.92"" and a surface area of 261.80 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  D30 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX700 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T5 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  N100 comes with a  1/1.7"" ~ 7.53 x 5.64 mm CMOS sensor, which has a diagonal of  9.41 mm 0.37"" and a surface area of 42.47 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX600 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 340 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX510 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX170 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G16 comes with a  1/1.7"" ~ 7.53 x 5.64 mm CMOS sensor, which has a diagonal of  9.41 mm 0.37"" and a surface area of 42.47 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  S120 comes with a  1/1.7"" ~ 7.53 x 5.64 mm CMOS sensor, which has a diagonal of  9.41 mm 0.37"" and a surface area of 42.47 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  70D comes with a  22.5 x 15 mm CMOS sensor, which has a diagonal of  27.04 mm 1.06"" and a surface area of 337.50 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel SL1 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T5i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX280 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX270 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 330 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 115 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A2500 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A3500 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A2600 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 130 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A1400 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  N comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  6D comes with a  35.8 x 23.9 mm CMOS sensor, which has a diagonal of  43.04 mm 1.69"" and a surface area of 855.62 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G15 comes with a  1/1.7"" ~ 7.53 x 5.64 mm CMOS sensor, which has a diagonal of  9.41 mm 0.37"" and a surface area of 42.47 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX50 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX160 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX500 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  M comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 120 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A3400 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX240 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  D20 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Elph 530 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  5D Mark III comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A2400 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  S110 comes with a  1/1.7"" ~ 7.53 x 5.64 mm CMOS sensor, which has a diagonal of  9.41 mm 0.37"" and a surface area of 42.47 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 110 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 320 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A2300 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T4i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 520 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX260 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A1300 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon -1D C comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm 1.7"" and a surface area of 864.00 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  G1 X comes with a  1.5"" ~ 18.7 x 14 mm CMOS sensor, which has a diagonal of  23.36 mm 0.92"" and a surface area of 261.80 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A4000 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A810 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  60Da comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 100 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX40 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A2200 comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  Rebel T3i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm 1.06"" and a surface area of 332.27 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  A3200 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX150 IS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CCD sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  ELPH 100 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Canon  SX40 HS comes with a  1/2.3"" ~ 6.16 x 4.62 mm CMOS sensor, which has a diagonal of  7.70 mm 0.3"" and a surface area of 28.46 mm².",B-br O O O O O O O O O O O O O O O O O O O O O O O O O O O O
