ID,Title
31,"The Nikon Z9 is one of the most powerful cameras on the market, capable of up to 30 fps shooting in JPEG or 20 with Raw capture, and able to record 8K/30 video, with the promise of 12-bit Raw 8K/60 capture in a future firmware update. It's also one of relatively few cameras on the market to completely forego a mechanical shutter, a design decision made possible by the impressively fast read-out speed of the new sensor. The Z9 becomes the first Nikon mirrorless camera to offer the company's 3D Tracking AF system, which can be combined with the camera's machine-learning trained subject recognition system. The autofocus system has been trained to recognize three sets of subjects, covering people, animals and vehicles. In 'Auto' mode the Z9 analyzes the scene to detect subjects automatically, without you having to specify. The Z9 adopts the dual-grip form factor of a D6-level DSLR but shares the slightly more angular look of the existing Z-series cameras. Fully loaded with cards and batteries, the Z9 is around 8% lighter than Nikon's existing D6, and it is around 20% smaller in volume. It has a pull-out 2.1M-dot touchscreen that hinges both vertically and horizontally, for portrait or landscape orientation shooting. The Nikon Z9 is perhaps the most complete camera we've ever tested. It shoots excellent 45MP images at up to 30fps (20 with Raw), it captures 8K video in everything from 8-bit MP4s to 12-bit N-Raw. Its autofocus system is both powerful and easy to use and works well for both stills and video. It's larger and heavier than some of its rivals, which make it less well suited to some applications, but overall it combines the best of a DSLR and a video camera in a single body. Good for: Sports, photojournalism, wedding and events, video Not so good for: Travel photography where size and weight are critical."
32,"The a7 IV is an all-round capable camera, supporting the photographer in almost any situation. Its video capabilities live up to a similar standard, making it a hugely flexible imaging tool. Its extreme levels of customization can be daunting but its powerful autofocus system means it can be a very simple camera to use. Good for: Most photographic or video pursuits Not so good for: Sports photography"
33,"The Panasonic Lumix DC-BS1H is a video-centric full-frame mirrorless camera with a 'box' shape meant to be rigged up for various types of video shooting applications. Sharing a similar design as the DC-BGH1, this camera will be able to capture video at 6K/24p (3:2 aspect ratio), 5.9K/30p (16:9) and 10-bit 4K/60p. It features a V-Log/V-Gamut that can capture around 14 stops of dynamic range which, along with color and skin tones, is virtually the same as the company's professional VariCam. The BS1H has no recording limit for any of its video modes and takes larger Panasonic batteries for extended stamina. In addition to the lenses on Panasonic's L-mount roadmap, EF and PL-mount adapters will allow the use of additional lenses."
34,"The Ricoh GR IIIx is an ultra-compact camera with a 24MP APS-C sensor and 26.1mm (40mm equivalent) F2.8 lens. It has in-body image stabilization, a hybrid autofocus system, built-in neutral density filter, and a fixed touchscreen display (optical and electronic viewfinders are optional). It's capable of capturing Full HD video at 60 fps. Wi-Fi and Bluetooth are also built-in."
35,"The Fujifilm GFX 50S II is a compact 51 Megapixel medium-format (44x33mm) camera that uses the company's GF-mount. It features in-body stabilization with up to 6.5 stops of shake reduction. Photos can be composed on a 3.2"" rear touch screen with a two-axis mechanism or on a large, high resolution EVF.  The 50S II has an updated autofocus system (though it's still contrast-detect), with more accurate face and eye detection. The camera has an OLED info display on its top plate and is highly customizable. The camera can create 205MP images by shifting its sensor, which can reduce false color. The body is weather-sealed against the elements. The GFX 50S II is the least expensive and most refined 50MP medium format camera yet from Fujifilm. Image stabilization boosts the range of circumstances it can be used in, helping it to deliver image quality at the very extreme of what full-frame is capable of. It's not the fastest camera on the market but it can make photography feel special and will deliver the best results this side of Fujifilm's 100MP models if you're shooting the kinds of photos it's strongest at. Good for: Landscape and studio work Not so good for: Sports and social shooting"
36,"The Fujifilm X-T30 II is an update to the original model that boosts performance and provides a higher resolution LCD. It sports a 26.1MP X-Trans sensor and X-Processor 4 Quad Core-CPU. It offers a hybrid AF system with 425 points across the entire frame, with both face and eye detection. It offers a 3"" 1.62M-dot tilting LCD and a 2.36M-dot OLED electronic viewfinder. The camera can capture both DCI and UHD 4K video and high-speed 1080 footage at up to 240 fps."
37,"The Sony ZV-E10 is an E-mount mirrorless camera with a 24MP APS-C sensor. The camera is designed for vlogging and features a fully articulating touchscreen, product showcase feature and soft skin features, a three-capsule microphone, and sockets for an external mic and headphones. It also has Sony's top-notch autofocus system, which tracks eyes and faces with ease. While it can capture 4K video, there's a hefty crop at 30p, but not at 24p. The ZV-E10 can live stream video (using UVC/UAC standards) over its USB-C connection. On the stills side, image quality is very good, bursts can be taken at 11 fps with continuous autofocus and battery life is best-in-class. While it lacks a mode dial, the camera is quite customizable. As a vlogging platform, the ZV-E10 seemingly has a lot to offer: it shoots oversampled 4K/24p video using the full width of its sensor, features a selfie touchscreen, a good built-in directional microphone, headphone/microphone ports and class-leading video autofocus. Battery life is also top of its class and the camera is livestream ready, out of the box. Unfortunately, 4K video capture results in a distracting 'jello effect' for clips with movement and/or fast action. And Full HD video shows poor detail capture compared to the competition. Good for: Vloggers and filmmakers shooting mostly static shots. Not so good for: Any form of vlogging that involves movement or capturing fast action. Stills shooters who want a viewfinder."
38,"The Nikon Z fc is an Z-mount mirrorless camera with a design reminiscent of the company's film cameras, such as the FM2. The top plate is loaded with dials and also has a small screen that displays the current aperture. The Z fc has a hybrid AF system with 209 phase-detect points, along with face and eye detection, for both people and animals. The camera can capture 4K/30p video plus high speed 120 fps footage at Full HD.  The Z fc has a fully articulating 1.04M-dot LCD as well as a 2.36M-dot EVF. It supports USB Power Delivery, which allows the camera to be operated when connected to a laptop charger or power brick. It has a single SD card slot and uses the same EN-EL25 battery as the Z50. The Nikon Z fc is an APS-C mirrorless camera that successfully brings back the design of the company's film cameras. It offers plenty of hands-on controls, a vlogger-friendly fully articulating touchscreen, excellent still and video quality, and plenty of customizability. It could use refinement in a few areas, but for those looking for an eye-catching camera that can capture the moment for social media and more, the Z fc is a solid choice. Good for: Those looking for a light, inexpensive and stylish ILC with direct controls and vlogging-friendly features. Not so good for: Those who prefer a more substantial-feeling body, best-in-class autofocus or a wider selection of native lenses."
39,"The Olympus PEN E-P7 is a rangefinder-style Micro Four Thirds mirrorless camera with a 20MP sensor and 5-axis in-body image stabilization. It has an downward-tilting 3"" touchscreen with 1.04 million dots, but with a flash instead of an electronic viewfinder. It has a 121-point contrast-detect AF system with face and eye detection. The E-P7 has numerous color modes, which can be easily accessed via a switch on its front plate. It can capture 4K/30p video at a bit rate of 102Mbps. Wi-Fi and Bluetooth are built-in. It is sold body-only or kitted with a 14-42mm power zoom lens."
40,"The Panasonic GH5 II (GH5M2) is an updated version of the original that adds new video features, improved autofocus, and a new coating on its 20MP sensor to reduce flare and ghosting. The design and in-body image stabilization are unchanged. New autofocus algorithms allow for faster acquisition, face/eye/body/head detection, and improved tracking. The GH5 II can capture 10-bit 4:2:0 4K/60p footage while simultaneously outputting 10-bit 4:2:2 to an external recorder. Since the camera uses the whole area of the sensor, there is no crop at 4K/60p. The V-Log L gamut is built into the camera, and numerous LUTs for VariCam color profiles can be installed, and two Cinelike gammas are also onboard. The camera supports anamorphic and Full HD 120 fps capture. The camera can also live-stream video over YouTube at up to 1080/60p via a smartphone connection. The GH5 II's body is made of a magnesium alloy body and is weather-sealed and functions down to -10°C/+14°F. It has two SD card slots, both of which support UHS-II speeds. A new battery allows for longer shooting times, and USB PD support lets you power the camera using a laptop charger or portable power device. The GH5 II adds a fewer feature enhancements to one of the strongest stills/video cameras on the market. Autofocus is improved but is still a weak point for 24p video capture, taking the gloss of what's otherwise a superlative video camera. Excellent image stabilization and a broad range of video support tools still make it one of the strongest options for 4K shooting under $3000. Good for: 4K capture in a range of circumstances Not so good for: Run-and-gun shooting relying on autofocus"
41,"The Canon EOS R3 is a high-end full-frame mirrorless designed for sports, wildlife and photojournalism. It's built around Canon's RF mount and uses a 24MP Stacked CMOS sensor and a Digic X processor. The camera has a pro-level design with a built-in grip, and is as rugged as one would expect for its price. Photos can be composed on a 5.76M-dot 'blackout-free' HDR EVF or a high-resolution fully articulating touchscreen. The EVF has an optical viewfinder simulation mode that shows you the scene, rather than the expected output. It's most interesting feature is Eye Control AF, which moves the focus point to the location in the viewfinder that you're looking at. The R3 uses Canon's Dual Pixel AF system and can detect people, animals, and motorsports vehicles, and track them around the frame. The camera can shoot images at 30 fps (even Raw) using its electronic shutter.  Video-wise, the R3 can capture 4K footage produced from a 6K area of the sensor. 4K/120p is also an option, though it is not oversampled. C-Log3 and Raw video can be recorded internally. As one would expect, the camera has mic and headphone sockets, as well as a full-size HDMI port. The R3 has two memory card slots: one for UHS-II SD cards and the other for CFexpress Type B media. In addition to Wi-Fi and Bluetooth, the camera also sports an Ethernet socket for connecting to PCs."
42,"The Sony a7R IV is the company's fourth generation, high-resolution full-frame mirrorless camera and is built around a BSI-CMOS sensor that outputs 60.2MP images. The ""A"" variant of the a7R IV is the same as the original model, but with a higher resolution (2.36M-dot) LCD. Despite its high resolution, it can shoot at up to 10 frames per second with full autofocus and shoot 4K video either from the full width of its sensor or from an APS-C/Super 35 crop. It also gains a 16-shot high-resolution mode that can be used to generate 240MP images of static scenes. The a7R IV has in-body image stabilization that's usable for still and video shooting. It has a top-notch autofocus system with face and eye detection that sticks to the subject, even if they look away or are momentarily blocked. It has a large, ultra-high-res electronic viewfinder, tilting touchscreen display and dual UHS-II SD card slots. The camera body is sealed against dust and moisture."
43,"The Sony a7R IIIA is a full-frame mirrorless camera that uses a 42.4MP stabilized BSI CMOS sensor. The Mark IIIA has numerous improvements over its predecessor, many of which are borrowed from the flagship a9. Faster processing and a redesigned shutter allow for 10 fps bursts (or 8 fps with no viewfinder blackout), and a refined autofocus system promises better subject tracking performance. The design hasn't changed much, with the main additions being a higher resolution EVF, joystick for adjusting the focus point, dual SD card slots and a higher capacity battery. Video can be captured at UHD 4K (30p) using the full-width of the sensor or a Super 35 crop, and 1080/120p option is also available. The a7R III supports S-Log3 and Hybrid Log Gamma profiles, among others. The ""A"" variant is the same as the original a7R III, except for the higher-resolution (2.36M-dot) LCD."
44,"The Pentax K-3 Mark III is a mid-sized DSLR with a 25.7MP BSI-CMOS sensor, in-body image stabilization, and an all-new optical viewfinder. The viewfinder offers a large 0.7x (equivalent) magnification and has composition and shooting data on a transparent panel. The camera has a fixed 3.2"" touchscreen with 1.62 million dots.  The camera has an all-new Safox 13 autofocus system with 101 points, 25 of which being cross-type. The K-3 III can shoot bursts at 12 fps (11 fps with continuous AF). It offers both Pixel Shift Resolution and Anti-aliasing simulator features, with the latter reducing moiré. UHD 4K video can be captured at 30p, with 3-axis image stabilization from the IBIS system."
45,"The Sigma fp L is an ultra-compact full-frame mirrorless digital camera. This L-mount camera features a 61 Megapixel sensor, hybrid autofocus system, attachable (optional) EVF and fully electronic shutter. It can shoot bursts as fast as 10 fps and offers an Auto HDR mode for both stills and videos. The camera can record 12-bit Cinema DNG video to an external recorder, as well as UHD 4K/30p internally. The camera can be powered by devices that support USB Power Delivery. The camera is designed to be modular, with optional grips, flash brackets, the aforementioned EVF, and more. Sigma has opened up the system so third party manufacturers can get in on the action."
46,"The Fujifilm GFX 100S is a 102MP medium format camera with an image stabilized BSI-CMOS sensor. This image stabilization is rated at up to 6.0 stops, and can work in sync with in-lens stabilization to maintain this performance. It has a hybrid autofocus system with nearly 100% coverage and a multi-shot mode for capturing 400MP images of static subjects. It shoot a DCI or UHD 4K video with internal capture at up to 400Mbps or a choice of 10-bit 4:2:2 or 12-bit Raw output over HDMI. The compact body is weather-sealed, has an OLED info displays on the top, and a fixed 3.69M-dot OLED viewfinder. Its dual-hinged 3.2"" LCD can tilt for both landscape and portrait photography. The camera has two SD card slots and ports for a mic, headphones and remote control. The Fujifilm GFX 100S is the smallest, least expensive way to achieve image quality beyond what full-frame can currently offer. You lose some responsiveness and flexibility in return for that, but as an image-making tool the GFX is excellent. It's also a surprisingly capable video camera but its smaller battery risks being more limiting than it is for stills shooting. Impressive in the studio and beyond. Good for: Landscapes, portraiture, studio work Not so good for: Fast-paced action and scenarios that require rapid responses"
47,"The Fujifilm X-E4 is a rangefinder-style mirrorless camera with a 26MP BSI-CMOS sensor paired with the company's exclusive X-Trans color filter. While has a ""flatter"" profile than its predecessors, there are still plenty of dials on the top plate. It has a 2.36M-dot electronic viewfinder as well as a flip-up touchscreen display. The X-E4 uses Fujfiilm's latest phase-detect AF system, which includes face and eye detection. It can shoot bursts at up to 20 fps with its electronic shutter and 8 fps with the mechanical shutter. The X-E4 has 18 Film Simulation modes available. It can also capture DCI 4K/30p video with a 200Mbps bit rate. High speed (200 fps) footage can be captured at Full HD resolution. The X-E4 is a stylish camera capable of excellent image quality and packed with useful features. It's the brand's smallest X-mount offering and a good choice for street, travel, and generalist photographers. It's also capable of strong video performance, though there's no in-body stabilization for hand-held shooting. The only thing the X-E4 doesn't excel at is AF tracking; you'll find quite a few of its competitors offer better tracking and face/eye detection. Good for: Generalists looking for a capable and compact interchangeable lens camera. Street and travel photographers. Those wishing to shoot JPEGs only. Not so good for: Sports and action shooters needing the best AF performance. Video shooters needing in-body stabilization."
48,"The Sony Alpha 1 (a1) is a high-end full-frame mirrorless camera with a 50MP Stacked BSI-CMOS sensor and in-body image stabilization. The a1 offers blackout-free shooting on its giant 9.44M-dot (240 fps) EVF at burst rates of up to 30 fps. It has Sony's latest autofocus system, with fast processing and face/eye/animal detection. The electronic shutter is designed to eliminate flicker and offers a flash sync of 1/200 sec (it's an impressive 1/400 sec with the mechanical shutter). A 'Pixel Shift Multi Shooting' mode combines 16 exposures into a 199MP image, which must be processed on a PC. Speaking of which, the camera can be controlled over dual band Wi-Fi, or tethered to a PC via USB or Ethernet. In addition to supporting the standard HEIF format, Sony has added a 'Light HIEF/JPEG' option for smaller file sizes. The a1 captures oversampled 8K/30p at a bit rate of 400Mbps as well as oversampled 4K at up to 120 fps. The camera can record 10-bit 4:2:2 video, and supports S-Cinetone, S-Log2/3, and HLG Log formats. 16-bit Raw recording to compatible external recorders is also available. The a1's body is designed to allow 30 minutes of continuous 8K recording. The a1 uses the NP-FZ100 battery with up to 530 shots/charge with the LCD and 430 with the EVF. A battery grip is optional. The Sony a1 is the most refined Alpha-series interchangeable lens camera yet. Its combination of speed and resolution for both stills and video set it apart in a crowded field of excellent options, though that combination is also responsible for the price it commands. But the fact remains, most any professional photographer will be able to use the a1 for most anything they'd think to shoot. Good for: Photographers capturing fast action, landscapes, weddings and events, portraiture and studio work or high-quality video. Not so good for: Photographers that don't need (or won't benefit from) the a1's combination of abilities. Those that need maximum resolution and dynamic range."
49,"The Leica SL2 is a 24 Megapixel stills/video hybrid full-frame camera that uses the L-mount that the company co-developed with Panasonic and Sigma. It has sensor-shift image stabilization built right in, and the camera can move the sensor in order to produce 96 Megapixel images.  The SL2-S's body is built like a tank and has an IP54 certification for weather-sealing. The camera's touchscreen LCD is 3.2"" in size and sports 2.1 million dots, while the large EVF has a resolution of 5.76 million dots. The SL2-S has two SD card slots, both of which are compatible with high-speed UHS-II media. A small LCD on the top plate lets you quickly view and adjust camera settings. The SL2-S can capture DCI and UHD 4K video at 60 frames/sec (with an APS-C crop; it's 30p without one) and up to 180 fps in Full HD mode. The SL2-S has both mic and headphone sockets, as well as a full-size HDMI port. Waveforms, color bars with a test tone and automatic follow-focus will be added in 2021."
50,"The Olympus OM-D E-M10 Mark IIIs is a low-cost, SLR-style mirrorless camera that's both powerful and easy-to-use. It's a very minor update to the original Mark III, adding an additional Art Filter and a silent shooting mode. The Mark IIIs sports a 16MP Live MOS sensor paired with the company's latest TruePic VIII processor and has 5-axis image stabilization built right into the body. Entry-level users have four ""shooting assist"" modes to making taking photos easy, and the tilting 3"" touchscreen display lets you snap a picture with the tap of your finger. The E-M10 III has numerous customizable buttons, twin control dials and a handy shortcut button. It has a 121-point contrast-detect AF system and can shoot at 4.8 fps with continuous AF. It can also capture 4K/UHD video at 24p and 30p, and a high-speed 120 fps mode is available at the 720p setting."
51,The Leica Q2 Monochrom is a dedicated black and white camera with a full-frame 47MP sensor and stabilized 28mm F1.7 lens. It offers a super-high-res electronic viewfinder and touchscreen-based interface in lieu of physical controls. The Q2 Monochrom can capture both UHD and DCI 4K video at up to 30 fps. Wi-Fi and Bluetooth are built in.
52,
53,
54,"The Fujifilm X-S10 is a DSLR-style mirrorless camera with a 26MP X-Trans BSI-CMOS sensor. Unlike other Fujifilm X-series cameras, it has a more traditional control layout and a larger grip. It uses the same sensor, processor and AF system as the X-T4, though it's 5-axis image stabilization system is a miniaturized and 1/2-stop less effective. The camera can shoot bursts at 30 fps with a crop or 20 fps without using the electronic shutter, or 8 fps with the mechanical shutter.  The camera has a mode dial rather than the shutter speed and exposure compensation dials found on other X-series models. It also has a pop-up flash. The built-in OLED viewfinder has a magnification of 0.62x and resolution of 2.36 million dots. The LCD is fully articulating and touch-enabled. A mic input is built in, and headphones can be used via an included USB-C dongle. The camera can be powered over its USB port. The camera can capture 4K video (DCI and UHD) for up to 30 minutes. Lovers of high-speed video can shoot at up to 240 fps by dropping down to Full HD. The X-S10 supports F-Log, 8-bit 4:2:0 internal recording, 10-bit 4:2:2 external recording and the company's popular Eterna color profile. The Fujifilm X-S10 is an excellent generalist photographers' camera. It has great image quality, strong video quality and features, and fast burst speeds for capturing fast action. Our only real reservation concerns its autofocus system, as the tracking performance has simply fallen behind what rival cameras are capable of. Otherwise, it proves to be a capable companion for landscape, portrait, travel photography and more. Good for: Generalist photography, including landscapes, portraits, studio work, run-and-gun video shooting. Not so good for: Sports and action specialists that need the best autofocus performance they can get."
55,"The Nikon Z6 II sits below the Z7 II as the flagship 'multimedia' model in the Z-series mirrorless lineup. Offering a 24MP full-frame sensor, in-body 5-axis stabilization and high-quality 4K video shooting, the Z6 II provides a similar feature set to its predecessor, but with some differences. Improvements include (and mostly stem from) the addition of a second Expeed 6 image processor, which allows for faster continuous shooting (now up to 14 fps) improved autofocus and 4K/60p video from an APS-C crop (coming via firmware). Physically the Z6 II is almost identical to the original Z6, but now features twin CFexpress / SD card slots, and provision for a vertical control grip (available separately). The Z6 II is a camera that does well at just about everything. It's comfortable to shoot with and its performance is reliably good. Its AF system is effective, though not at simple to use as its rivals', and battery life isn't particularly impressive, but if you're looking for an enthusiast camera that will do a bit of everything, it's well worth considering. Good for: Stills and video capture in a variety of situations Not so good for: Carefree shooting in fast-changing conditions"
