ID,Title,Brand,Model
27,"Canon  SX730 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX730 HS
28,"Canon  Rebel T7i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T7i
29,"Canon  77D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 77D
30,"Canon  M6 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M6
31,"Canon  G9 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G9 X Mark II
32,"Canon  M5 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M5
33,"Canon  5D Mark IV comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS 5D Mark IV
34,"Canon  SX620 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX620 HS
35,"Canon  1300D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 1300D
36,"Canon  G7 X Mark II comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G7 X Mark II
37,"Canon  SX720 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX720 HS
38,"Canon  80D comes with a  22.5 x 15 mm CMOS sensor, which has a diagonal of  27.04 mm (1.06"") and a surface area of 337.50 mm².",Canon,EOS 80D
39,"Canon -1D X Mark II comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS-1D X Mark II
40,"Canon  ELPH 360 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 360 HS
41,"Canon  ELPH 190 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 190 IS
42,"Canon  ELPH 180 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 180
43,"Canon  SX540 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX540 HS
44,"Canon  SX420 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX420 IS
45,"Canon  M10 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M10
46,"Canon  G5 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G5 X
47,"Canon  G9 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G9 X
48,"Canon  G3 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G3 X
49,"Canon  M3 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M3
50,"Canon  Rebel T6s comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T6s
51,"Canon  Rebel T6i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T6i
52,"Canon  5DS R comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS 5DS R
53,"Canon  5DS comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS 5DS
54,"Canon  ELPH 350 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 350 HS
55,"Canon  SX410 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX410 IS
56,"Canon  SX710 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX710 HS
57,"Canon  SX610 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX610 HS
58,"Canon  SX530 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX530 HS
59,"Canon  ELPH 170 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 170 IS
60,"Canon  ELPH 160 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 160
61,"Canon IXUS 165 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,IXUS 165
62,"Canon  7D Mark II comes with a  22.4 x 15 mm CMOS sensor, which has a diagonal of  26.96 mm (1.06"") and a surface area of 336.00 mm².",Canon,EOS 7D Mark II
63,"Canon  G7 X comes with a  13.2 x 8.8 mm CMOS sensor, which has a diagonal of  15.86 mm (0.62"") and a surface area of 116.16 mm².",Canon,PowerShot G7 X
64,"Canon  SX60 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX60 HS
65,"Canon  N2 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot N2
66,"Canon  SX520 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX520 HS
67,"Canon  SX400 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX400 IS
68,"Canon  S200 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot S200
69,"Canon  ELPH 150 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 150 IS
70,"Canon  ELPH 140 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 140 IS
71,"Canon  ELPH 135 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 135
72,"Canon  G1 X Mark II comes with a  1.5"" (~ 18.7 x 14 mm) CMOS sensor, which has a diagonal of  23.36 mm (0.92"") and a surface area of 261.80 mm².",Canon,PowerShot G1 X Mark II
73,"Canon  D30 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot D30
74,"Canon  SX700 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX700 HS
75,"Canon  Rebel T5 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T5
76,"Canon  N100 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot N100
77,"Canon  SX600 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX600 HS
78,"Canon  ELPH 340 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 340 HS
79,"Canon  SX510 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX510 HS
80,"Canon  SX170 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX170 IS
81,"Canon  G16 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot G16
82,"Canon  S120 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot S120
83,"Canon  70D comes with a  22.5 x 15 mm CMOS sensor, which has a diagonal of  27.04 mm (1.06"") and a surface area of 337.50 mm².",Canon,EOS 70D
84,"Canon  Rebel SL1 comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel SL1
85,"Canon  Rebel T5i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T5i
86,"Canon  SX280 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX280 HS
87,"Canon  SX270 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX270 HS
88,"Canon  ELPH 330 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 330 HS
89,"Canon  ELPH 115 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 115 IS
90,"Canon  A2500 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A2500
91,"Canon  A3500 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A3500 IS
92,"Canon  A2600 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A2600
93,"Canon  ELPH 130 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 130 IS
94,"Canon  A1400 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A1400
95,"Canon  N comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot N
96,"Canon  6D comes with a  35.8 x 23.9 mm CMOS sensor, which has a diagonal of  43.04 mm (1.69"") and a surface area of 855.62 mm².",Canon,EOS 6D
97,"Canon  G15 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot G15
98,"Canon  SX50 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX50 HS
99,"Canon  SX160 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX160 IS
100,"Canon  SX500 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX500 IS
101,"Canon  M comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS M
102,"Canon  ELPH 120 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 120 IS
103,"Canon  A3400 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A3400 IS
104,"Canon  SX240 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX240 HS
105,"Canon  D20 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot D20
106,"Canon  Elph 530 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot Elph 530 HS
107,"Canon  5D Mark III comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS 5D Mark III
108,"Canon  A2400 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A2400 IS
109,"Canon  S110 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot S110
110,"Canon  ELPH 110 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 110 HS
111,"Canon  ELPH 320 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 320 HS
112,"Canon  A2300 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A2300
113,"Canon  Rebel T4i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T4i
114,"Canon  ELPH 520 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 520 HS
115,"Canon  SX260 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX260 HS
116,"Canon  A1300 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A1300
117,"Canon -1D C comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS-1D C
118,"Canon  G1 X comes with a  1.5"" (~ 18.7 x 14 mm) CMOS sensor, which has a diagonal of  23.36 mm (0.92"") and a surface area of 261.80 mm².",Canon,PowerShot G1 X
119,"Canon  A4000 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A4000 IS
120,"Canon  A810 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A810
121,"Canon  60Da comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 60Da
122,"Canon  ELPH 100 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 100 HS
123,"Canon  SX40 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX40 HS
124,"Canon  A2200 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A2200
125,"Canon  Rebel T3i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T3i
126,"Canon  A3200 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A3200 IS
127,"Canon  SX150 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX150 IS
128,"Canon  ELPH 100 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot ELPH 100 HS
129,"Canon  SX40 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX40 HS
130,"Canon  A2200 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A2200
131,"Canon  Rebel T3i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T3i
132,"Canon -1D X comes with a  36 x 24 mm CMOS sensor, which has a diagonal of  43.27 mm (1.7"") and a surface area of 864.00 mm².",Canon,EOS-1D X
133,"Canon  SX230 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX230 HS
134,"Canon  S100 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CMOS sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot S100
135,"Canon  A1200 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A1200
136,"Canon  Rebel T3 comes with a  22.2 x 14.8 mm CMOS sensor, which has a diagonal of  26.68 mm (1.05"") and a surface area of 328.56 mm².",Canon,EOS Rebel T3
137,"Canon  SX220 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX220 HS
138,"Canon  A800 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A800
139,"Canon IXUS 1100 HS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,IXUS 1100 HS
140,"Canon  A3000 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A3000 IS
141,"Canon  60D comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS 60D
142,"Canon IXUS 105 comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,IXUS 105
143,"Canon  G12 comes with a  1/1.7"" (~ 7.53 x 5.64 mm) CCD sensor, which has a diagonal of  9.41 mm (0.37"") and a surface area of 42.47 mm².",Canon,PowerShot G12
144,"Canon  A3100 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot A3100 IS
145,"Canon  SD4000 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SD4000 IS
146,"Canon  Rebel T2i comes with a  22.3 x 14.9 mm CMOS sensor, which has a diagonal of  26.82 mm (1.06"") and a surface area of 332.27 mm².",Canon,EOS Rebel T2i
147,"Canon  SD4500 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CMOS sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SD4500 IS
148,"Canon  SX210 IS comes with a  1/2.3"" (~ 6.16 x 4.62 mm) CCD sensor, which has a diagonal of  7.70 mm (0.3"") and a surface area of 28.46 mm².",Canon,PowerShot SX210 IS
